period,subba,subba-name,parent,parent-name,timezone,value,value-units
2024-12-31,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Arizona,105040,megawatthours
2024-12-31,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Central,105088,megawatthours
2024-12-31,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Eastern,105170,megawatthours
2024-12-31,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Mountain,105040,megawatthours
2024-12-31,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Pacific,104965,megawatthours
2024-12-30,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Arizona,104132,megawatthours
2024-12-30,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Central,103920,megawatthours
2024-12-30,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Eastern,103709,megawatthours
2024-12-30,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Mountain,104132,megawatthours
2024-12-30,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Pacific,104356,megawatthours
2024-12-29,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Arizona,100310,megawatthours
2024-12-29,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Central,100557,megawatthours
2024-12-29,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Eastern,100813,megawatthours
2024-12-29,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Mountain,100310,megawatthours
2024-12-29,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Pacific,100086,megawatthours
2024-12-28,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Arizona,110592,megawatthours
2024-12-28,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Central,110906,megawatthours
2024-12-28,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Eastern,111236,megawatthours
2024-12-28,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Mountain,110592,megawatthours
2024-12-28,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Pacific,110289,megawatthours
2024-12-27,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Arizona,120011,megawatthours
2024-12-27,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Central,120398,megawatthours
2024-12-27,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Eastern,120744,megawatthours
2024-12-27,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Mountain,120011,megawatthours
2024-12-27,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Pacific,119573,megawatthours
2024-12-26,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Arizona,122596,megawatthours
2024-12-26,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Central,122444,megawatthours
2024-12-26,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Eastern,122279,megawatthours
2024-12-26,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Mountain,122596,megawatthours
2024-12-26,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Pacific,122731,megawatthours
2024-12-25,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Arizona,115180,megawatthours
2024-12-25,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Central,115138,megawatthours
2024-12-25,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Eastern,115090,megawatthours
2024-12-25,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Mountain,115180,megawatthours
2024-12-25,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Pacific,115247,megawatthours
2024-12-24,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Arizona,124004,megawatthours
2024-12-24,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Central,124373,megawatthours
