period,subba,subba-name,parent,parent-name,timezone,value,value-units,DATE,STATION,NAME,AWND,PRCP,TAVG,TMAX,TMIN
2022-04-01,PS,Public Service Electric & Gas of New Jersey zone - PJM,PJM,"PJM Interconnection, LLC",Arizona,100418.0,megawatthours,2022-04-01,US1NJHN0019,"LEBANON 3.2 SW, NJ US",17.22,0.24,57.0,70.0,52.0
2022-04-02,PS,Public Service Electric & Gas of New Jersey zone - PJM,PJM,"PJM Interconnection, LLC",Pacific,90501.0,megawatthours,2022-04-02,US1NJHN0019,"LEBANON 3.2 SW, NJ US",11.41,0.01,46.0,58.0,34.0
2022-04-02,PS,Public Service Electric & Gas of New Jersey zone - PJM,PJM,"PJM Interconnection, LLC",Mountain,90686.0,megawatthours,2022-04-02,US1NJHN0019,"LEBANON 3.2 SW, NJ US",11.41,0.01,46.0,58.0,34.0
2022-04-02,PS,Public Service Electric & Gas of New Jersey zone - PJM,PJM,"PJM Interconnection, LLC",Eastern,91029.0,megawatthours,2022-04-02,US1NJHN0019,"LEBANON 3.2 SW, NJ US",11.41,0.01,46.0,58.0,34.0
2022-04-02,PS,Public Service Electric & Gas of New Jersey zone - PJM,PJM,"PJM Interconnection, LLC",Central,90855.0,megawatthours,2022-04-02,US1NJHN0019,"LEBANON 3.2 SW, NJ US",11.41,0.01,46.0,58.0,34.0
2022-04-02,PS,Public Service Electric & Gas of New Jersey zone - PJM,PJM,"PJM Interconnection, LLC",Arizona,90501.0,megawatthours,2022-04-02,US1NJHN0019,"LEBANON 3.2 SW, NJ US",11.41,0.01,46.0,58.0,34.0
2022-04-03,PS,Public Service Electric & Gas of New Jersey zone - PJM,PJM,"PJM Interconnection, LLC",Pacific,96356.0,megawatthours,2022-04-03,US1NJHN0019,"LEBANON 3.2 SW, NJ US",7.38,0.0,44.0,55.0,37.0
2022-04-03,PS,Public Service Electric & Gas of New Jersey zone - PJM,PJM,"PJM Interconnection, LLC",Mountain,96224.0,megawatthours,2022-04-03,US1NJHN0019,"LEBANON 3.2 SW, NJ US",7.38,0.0,44.0,55.0,37.0
2022-04-03,PS,Public Service Electric & Gas of New Jersey zone - PJM,PJM,"PJM Interconnection, LLC",Eastern,96044.0,megawatthours,2022-04-03,US1NJHN0019,"LEBANON 3.2 SW, NJ US",7.38,0.0,44.0,55.0,37.0
2022-04-03,PS,Public Service Electric & Gas of New Jersey zone - PJM,PJM,"PJM Interconnection, LLC",Central,96131.0,megawatthours,2022-04-03,US1NJHN0019,"LEBANON 3.2 SW, NJ US",7.38,0.0,44.0,55.0,37.0
2022-04-03,PS,Public Service Electric & Gas of New Jersey zone - PJM,PJM,"PJM Interconnection, LLC",Arizona,96356.0,megawatthours,2022-04-03,US1NJHN0019,"LEBANON 3.2 SW, NJ US",7.38,0.0,44.0,55.0,37.0
2022-04-04,PS,Public Service Electric & Gas of New Jersey zone - PJM,PJM,"PJM Interconnection, LLC",Central,100921.0,megawatthours,2022-04-04,US1NJHN0019,"LEBANON 3.2 SW, NJ US",10.96,0.35,46.0,54.0,40.0
2022-04-04,PS,Public Service Electric & Gas of New Jersey zone - PJM,PJM,"PJM Interconnection, LLC",Arizona,100922.0,megawatthours,2022-04-04,US1NJHN0019,"LEBANON 3.2 SW, NJ US",10.96,0.35,46.0,54.0,40.0
2022-04-04,PS,Public Service Electric & Gas of New Jersey zone - PJM,PJM,"PJM Interconnection, LLC",Eastern,100918.0,megawatthours,2022-04-04,US1NJHN0019,"LEBANON 3.2 SW, NJ US",10.96,0.35,46.0,54.0,40.0
